scenario,quarter_index,quarter,country,rank,composite_score,implementation_score,innovation_score,investment_score,talent_score,infrastructure_score,operating_environment_score,research_score,development_score,commercial_ecosystem_score,government_strategy_score
baseline,1,2026Q1,United States of America,1.0,76.66639400359998,73.72280236693332,74.9313144711158,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.004,85.5956,77.39
baseline,1,2026Q1,China,2.0,49.998453436799984,33.8013536816,70.8754281382221,42.51350548596991,17.608435999999998,63.96388299999999,65.70797,77.735177,62.022,28.162943,94.87
baseline,1,2026Q1,South Korea,3.0,37.781293510599994,31.255939021866666,51.83606237509893,26.064518629524198,21.777202999999997,48.873993999999996,50.010816000000005,25.094224,86.35000000000001,9.225467,87.5
baseline,1,2026Q1,Singapore,4.0,33.038641044599984,51.814709428799986,18.36979568662622,27.01966435136234,56.248363999999995,42.13708899999999,45.990356,20.415143,15.729999999999999,12.547448000000001,79.82
baseline,1,2026Q1,Canada,5.0,32.86445341959999,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,1,2026Q1,United Kingdom,6.0,32.50625984399999,37.38945935893333,30.127651992614076,28.72639167954453,35.37574299999999,31.680918,60.76709700000001,40.96081399999999,16.146,13.899698,82.82
baseline,1,2026Q1,Germany,7.0,30.139545360399993,35.78758321866667,28.15290441150092,24.589001996746646,32.084827,35.029208999999994,58.791722,36.309284,17.625999999999998,8.126687,84.65
baseline,1,2026Q1,India,8.0,28.832275047799993,46.630735780799995,19.170401434977578,16.58499368035787,55.65415699999999,18.771287,51.527429000000005,19.67744,18.516,5.005922,58.83
baseline,1,2026Q1,Israel,9.0,27.65212443879999,39.33287399306666,19.141719615932473,22.95921425376169,39.53744699999999,30.116510999999996,57.058828,20.810449000000002,16.988,17.216745,43.91
baseline,1,2026Q1,France,10.0,26.344510560399996,31.81229328586667,21.848636188868372,24.93730215128101,23.834751999999998,37.703493,65.93375,28.084822,13.8,6.775143,91.2
