scenario,quarter_index,quarter,country,composite_score_p10,composite_score_median,composite_score_p90,rank_p10,rank_median,rank_p90,implementation_score_median,innovation_score_median,investment_score_median,talent_score_median,infrastructure_score_median,operating_environment_score_median,research_score_median,development_score_median,commercial_ecosystem_score_median,government_strategy_score_median
baseline,1,2026Q1,Canada,32.86445341959999,32.86445341959999,32.86445341959999,5.0,5.0,5.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,1,2026Q1,China,49.998453436799984,49.998453436799984,49.998453436799984,2.0,2.0,2.0,33.8013536816,70.8754281382221,42.51350548596991,17.608435999999998,63.96388299999999,65.70797,77.735177,62.022,28.162943,94.87
baseline,1,2026Q1,France,26.344510560399996,26.344510560399996,26.344510560399996,10.0,10.0,10.0,31.81229328586667,21.848636188868372,24.93730215128101,23.834751999999998,37.703493,65.93375,28.084822,13.8,6.775143,91.2
baseline,1,2026Q1,Germany,30.139545360399993,30.139545360399993,30.139545360399993,7.0,7.0,7.0,35.78758321866667,28.15290441150092,24.589001996746646,32.084827,35.029208999999994,58.791722,36.309284,17.625999999999998,8.126687,84.65
baseline,1,2026Q1,India,28.832275047799993,28.832275047799993,28.832275047799993,8.0,8.0,8.0,46.630735780799995,19.170401434977578,16.58499368035787,55.65415699999999,18.771287,51.527429000000005,19.67744,18.516,5.005922,58.83
baseline,1,2026Q1,Israel,27.65212443879999,27.65212443879999,27.65212443879999,9.0,9.0,9.0,39.33287399306666,19.141719615932473,22.95921425376169,39.53744699999999,30.116510999999996,57.058828,20.810449000000002,16.988,17.216745,43.91
baseline,1,2026Q1,Japan,22.934060240999997,22.934060240999997,22.934060240999997,12.0,12.0,12.0,20.479713075200003,25.078310421524666,23.371209259861732,9.805549,40.800648,40.613047,20.311903,31.23,10.053349,71.96
baseline,1,2026Q1,Singapore,33.038641044599984,33.038641044599984,33.038641044599984,4.0,4.0,4.0,51.814709428799986,18.36979568662622,27.01966435136234,56.248363999999995,42.13708899999999,45.990356,20.415143,15.729999999999999,12.547448000000001,79.82
baseline,1,2026Q1,South Korea,37.781293510599994,37.781293510599994,37.781293510599994,3.0,3.0,3.0,31.255939021866666,51.83606237509893,26.064518629524198,21.777202999999997,48.873993999999996,50.010816000000005,25.094224,86.35000000000001,9.225467,87.5
baseline,1,2026Q1,Spain,22.141652517199994,22.141652517199994,22.141652517199994,13.0,13.0,13.0,32.182436782399996,11.25003292218412,23.620785860105734,28.328127999999992,30.508564999999997,57.942934,14.789403,6.6819999999999995,5.075851,91.28
baseline,1,2026Q1,UAE,25.56516333899999,25.56516333899999,25.56516333899999,11.0,11.0,11.0,39.10831308586666,8.077257411764707,31.87254024806832,34.13514299999999,50.14824,45.262485999999996,7.100418,9.338,18.302879,81.38
baseline,1,2026Q1,United Kingdom,32.50625984399999,32.50625984399999,32.50625984399999,6.0,6.0,6.0,37.38945935893333,30.127651992614076,28.72639167954453,35.37574299999999,31.680918,60.76709700000001,40.96081399999999,16.146,13.899698,82.82
baseline,1,2026Q1,United States of America,76.66639400359998,76.66639400359998,76.66639400359998,1.0,1.0,1.0,73.72280236693332,74.9313144711158,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.004,85.5956,77.39
baseline,2,2026Q2,Canada,32.86445341959999,32.86445341959999,32.86445341959999,5.0,5.0,5.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,2,2026Q2,China,50.09619813647188,50.103786397523855,50.11233133673364,2.0,2.0,2.0,33.8013536816,70.99625786686858,42.754591798724064,17.608435999999998,63.96388299999999,65.70797,77.84145717864358,62.16015732041693,28.470109447182637,94.87
baseline,2,2026Q2,France,26.413310912856282,26.420190709982066,26.42707105532486,10.0,10.0,10.0,31.81229328586667,21.901197695156895,25.164472638609524,23.834751999999998,37.703493,65.93375,28.178108830683424,13.8,7.064579387741361,91.2
baseline,2,2026Q2,Germany,30.205016274993568,30.21167665159374,30.218317016544937,7.0,7.0,7.0,35.78758321866667,28.198158655240476,24.812850116310422,32.084827,35.029208999999994,58.791722,36.389601808060235,17.625999999999998,8.411890381350943,84.65
baseline,2,2026Q2,India,28.90458101370529,28.910027565741448,28.91504434815056,8.0,8.0,8.0,46.6673072932572,19.22986801367324,16.755174161045307,55.70999705362968,18.771287,51.527429000000005,19.67744,18.652216193253928,5.2227478041504725,58.83
baseline,2,2026Q2,Israel,27.72020926734183,27.725202566031278,27.729807352579215,9.0,9.0,9.0,39.37580024850702,19.203680453786617,23.09670193242736,39.60298993888491,30.116510999999996,57.058828,20.810449000000002,17.129929629187345,17.39191712530512,43.91
baseline,2,2026Q2,Japan,23.009017520182354,23.014647414606323,23.019913544937946,12.0,12.0,12.0,20.536391235014,25.134672077612702,23.527447914041744,9.892089349878866,40.800648,40.613047,20.311903,31.359103950591987,10.252411616906041,71.96
baseline,2,2026Q2,Singapore,33.11011843955735,33.11548322969607,33.12046240374147,4.0,4.0,4.0,51.8552167389618,18.43640960794498,27.169225334685137,56.310213516737285,42.13708899999999,45.990356,20.415143,15.882588142428649,12.738002641445988,79.82
baseline,2,2026Q2,South Korea,37.8437280783319,37.84886532357318,37.85355172584832,3.0,3.0,3.0,31.313044840514443,51.85562940815254,26.22341411325283,21.864396330590047,48.873993999999996,50.010816000000005,25.094224,86.39482091982248,9.42791466553819,87.5
baseline,2,2026Q2,Spain,22.21296639738991,22.22020649346486,22.227461309751007,13.0,13.0,13.0,32.182436782399996,11.307447127926011,23.852154407708454,28.328127999999992,30.508564999999997,57.942934,14.891302463467937,6.6819999999999995,5.370636108059635,91.28
baseline,2,2026Q2,UAE,25.64336495084323,25.649607970460572,25.65547616773073,11.0,11.0,11.0,39.1733640037857,8.149909160425722,32.007046027290514,34.234467487864976,50.14824,45.262485999999996,7.100418,9.50441859768816,18.47425190730952,81.38
baseline,2,2026Q2,United Kingdom,32.56855319012871,32.57475851862712,32.58087773498072,6.0,6.0,6.0,37.38945935893333,30.17244071576654,28.93619674802658,35.37574299999999,31.680918,60.76709700000001,41.04030559619427,16.146,14.167009224558218,82.82
baseline,2,2026Q2,United States of America,76.68752743600922,76.6910523072466,76.6957702682517,1.0,1.0,1.0,73.72280236693332,74.99635879621896,83.83034485563238,72.61859899999999,79.28400599999999,68.707888,77.199435,72.1529927712786,85.5956,77.39
baseline,3,2026Q3,Canada,32.86445341959999,32.86445341959999,32.86445341959999,5.0,5.0,5.0,44.856085317333324,23.13710140226853,29.57359204554697,41.94014599999999,40.92203799999999,69.81874599999999,28.821981,15.8,10.270188000000001,100.0
baseline,3,2026Q3,China,50.19345098804004,50.2085499485887,50.225544459582295,2.0,2.0,2.0,33.8013536816,71.11643547650107,42.99437452230764,17.608435999999998,63.96388299999999,65.70797,77.94716297299433,62.29757937715159,28.775615000183663,94.87
baseline,3,2026Q3,France,26.48191430390241,26.495633459734897,26.50935116646489,10.0,10.0,10.0,31.81229328586667,21.9535960514473,25.39093137408566,23.834751999999998,37.703493,65.93375,28.271106100672622,13.8,7.353108937241783,91.2
baseline,3,2026Q3,Germany,30.270301512446967,30.283581107998742,30.29681982268231,7.0,7.0,7.0,35.78758321866667,28.243272430597326,25.036003089022955,32.084827,35.029208999999994,58.791722,36.4696703110461,17.625999999999998,8.696208080781062,84.65
baseline,3,2026Q3,India,28.976666725211608,28.987525626145395,28.997525894843562,8.0,8.0,8.0,46.70375882735723,19.2891393288703,16.924794947621056,55.76565391554951,18.771287,51.527429000000005,19.67744,18.78798510921287,5.4388605058032,58.83
baseline,3,2026Q3,Israel,27.788083813345565,27.798040052326066,27.80721893001126,9.0,9.0,9.0,39.418585677898314,19.265437838033016,23.23373881198526,39.668317854282854,30.116510999999996,57.058828,20.810449000000002,17.271393220533625,17.5665148905035,43.91
